,Context,English,Spanish,Finnish,German,Japanese,Portuguese,French,Italian,Korean,Turkish,Polish,,,,,,,,,,,,,,,
welcome_to_chat,,[SYSTEM] Welcome to the Idle Clans chat room!,¡Bienvenido a la sala de chat de Idle Clans!,Tervetuloa Idle Clansin keskustelukanavalle!,Willkomen im Idle Clans Chatroom!,"アイドルクランのチャットルームへようこそ！</color>""/commands ""と入力してください。",Bem-vindo à sala de bate-papo do Idle Clans!,Bienvenue dans le salon de discussion d'Idle Clans !,Benvenuto nella chat di Idle Clans!,"Idle Clans 채팅방에 오신 것을 환영합니다! ""/명령어""를 입력해 익숙해지세요.",Idle Clans sohbet odasına hoş geldin!,Witamy na czacie Idle Clans!,,,,,,,,,,,,,,,
new_private_message_title,,New private message,Nuevo mensaje privado,Uusi yksityisviesti,Neue private Nachricht,新しいプライベートメッセージ,Nova mensagem privada,Nouveau message privé,Nuovo messaggio privato,새 비공개 메시지,Yeni özel mesaj,Nowa prywatna wiadomość,,,,,,,,,,,,,,,
new_private_message_body,,You've received a private message from {0},Has recibido un mensaje privado de {0},Olet saanut yksityisviestin käyttäjältä {0},Du hast eine private Nachricht von {0} erhalten,0}からプライベートメッセージが届いています。,Você recebeu uma mensagem privada de {0},Vous avez reçu un message privé de {0},Hai ricevuto un messaggio privato da {0},0} 님으로부터 비공개 메시지를 받았습니다.,{0} Kişisinden özel mesaj aldın,Otrzymałeś prywatną wiadomość od {0}.,,,,,,,,,,,,,,,
send_message,,Send a message...,Enviar un mensaje...,Lähetä viesti...,schicke eine Nachricht...,メッセージを送信...,Enviar mensagem…,Envoyer un message...,Invia un messaggio...,메시지 보내기...,Bir mesaj gönder,Wyślij wiadomość...,,,,,,,,,,,,,,,
channels,,Channels,Canales,Kanavat,Kanäle,チャンネル,Canais,Canaux,Canali,채널,Kanallar,Kanały,,,,,,,,,,,,,,,
chat_commands,,Chat commands,Comandos del chat,Chatti komennot,Befehle,チャットコマンド,Comandos de chat,Commandes du chat,Comandi chat,채팅 명령,Sohbet komutları,Polecenia czatu,,,,,,,,,,,,,,,
commands_info,,/commands  - show available commands,/comandos - muestra los comandos disponibles,/commands - näytä komennot,/commands - zeigt verfügbare befehle,/commands - 利用可能なコマンドを表示,/commands - mostra os comandos disponíveis,/commands - affiche les commandes disponibles,/commands - mostra i comandi disponibili,/명령어 - 사용 가능한 명령어 표시,/commands - geçerli komutları gösterir,/commands - wyświetla dostępne komendy,,,,,,,,,,,,,,,
pm_info,,/pm or /dm username message - private message a user,/pm o /dm nombredeusuario mensaje - enviar mensaje privado a un usuario,/pm tai /dm käyttäjänimi viesti - lähetä pelaajalle yksityisviesti,/pm oder /dm Nutzername Nachricht - schickt eine private Nachricht,/pmまたは/dm username message - ユーザにプライベートメッセージを送ります。,/pm ou /dm username message - mensagem privada para um usuário,"/pm ou /dm  ""nom d'utilisateur"" message - message privé à un utilisateur",/pm o /dm nomeutente messaggio - messaggia in privato un utente,/pm 또는 /dm 사용자 아이디 메시지 - 사용자에게 비공개 메시지 보내기,/pm ya da /dm KullanıcıAdı mesajın - şeklinde özel mesaj gönderebilirsin,"/pm lub /dm ""nazwa użytkownika"" wiadomość - prywatna wiadomość do użytkownika",,,,,,,,,,,,,,,
block_info,,/block username - block a user,/block nombredeusuario - bloquea a un usuario,/block käyttäjänimi - estä käyttäjä,/block Nutzername - Blockiert einen Nutzer,/block username - ユーザーをブロック,/block username - bloqueia um usuário,"/block ""nom d'utilisateur"" - bloque un utilisateur",/block nomeutente - blocca un utente,/차단 사용자 아이디 - 사용자 차단하기,/block kullanıcıadı - Kullanıcıyı engeller,"/block ""nazwa użytkownika"" - zablokuj użytkownika",,,,,,,,,,,,,,,
unblock_info,,/unblock username - unblock a user,/unblock nombredeusuario - desbloquea a un usuario,/unblock käyttäjänimi - poista käyttäjän esto,/unblock Nutzername - Entblockiert einen Nutzer,/unblock username - ユーザーのブロックを解除する。,/unblock username - desbloqueia um usuário,"/unblock ""nom d'utilisateur"" - débloque un utilisateur",/unblock nomeutente - sblocca un utente,/차단해제 사용자 아이디 - 사용자 차단 해제,/unblock kullanıcıadı - Kullanıcı engelini kaldırır,"/unblock ""nazwa użytkownika"" - odblokuj użytkownika",,,,,,,,,,,,,,,
chat,,Chat,Chat,Chatti,Chat,チャット,Bate-papo,Tchat,Chat,채팅,Sohbet,Czat,,,,,,,,,,,,,,,
chat_timeout,,You've been disconnected from the chat.,Se te ha desconectado automáticamente del chat.,Sinut on automaattisesti aikakatkaistu chatista,Dein Chat wurde automatisch stummgeschaltet,チャットが自動的にタイムアウトしました。,Você foi automaticamente expulso do bate-papo.,Vous avez été automatiquement exclu de la session de chat.,Sei stato disconesso dalla chat.,채팅에서 자동으로 시간이 초과되었습니다.,Sohbet otomatik olarak zaman aşımına uğradı,Zostałeś wylogowany z czatu,,,,,,,,,,,,,,,
chat_timeout_description,,You've been automatically timed out from the chat. Press the button below to reconnect.,Se te ha desconectado automáticamente del chat. Pulsa el botón de abajo para volver a conectarte.,Sinut on automaattisesti aikakatkaistu chatista. Paina alla olevaa nappia yhdistääksesi takaisin.,Dein Chat wurde automatisch stummgeschaltet. klicke den Knopf um dich wieder zu verbinden,チャットが自動的にタイムアウトしました。下のボタンを押して再接続してください。,Você foi automaticamente expulso do bate-papo. Clique no botão abaixo para se reconectar.,Vous avez été automatiquement déconnecté du chat. Appuyez sur le bouton ci-dessous pour vous reconnecter.,Sei stato disconnesso dalla chat automaticamente. Premi il bottone in basso per riconnetterti.,채팅에서 자동으로 시간이 초과되었습니다. 다시 연결하려면 아래 버튼을 누르세요.,Sohbet otomatik olarak zaman aşımına uğradı. Aşağıdaki butona tıklayarak tekrar bağlan,"Zostałeś wylogowany z czatu. Naciśnij poniższy przycisk, aby ponownie się połączyć.",,,,,,,,,,,,,,,
already_logged_in,,User is already logged in! Would you like to log the previously connected client out?<br><br>You'll be able to log in on this client afterwards (after a possible small delay).,El usuario ya está conectado ¿Deseas cerrar la sesión del cliente conectado anteriormente?,Käyttäjä on jo kirjautunut sisään! Haluatko kirjata ulos aikaisemman käyttäjän?,Nutzer ist bereits Angemeldet! möchtest du denn Account abmelden ?,ユーザーは既にログインしています！以前に接続していたクライアントをログアウトしますか？,O usuário já está conectado! Gostaria de desconectar o cliente conectado anteriormente?,L'utilisateur est déjà connecté ! Souhaitez-vous déconnecter le client précédemment connecté ?,L'utente ha già effettuato l'accesso. Vuoi effettuare la disconnessione dell'utente precedentemente connesso?<br><br>Potrai accedere nuovamente in seguito (dopo una possibile piccola attesa),사용자가 이미 로그인했습니다! 이전에 접속한 클라이언트를 로그아웃하시겠습니까?,Kullanıcı zaten oturumda! Bir önceki sürümden çıkış yapılsın mı?,Użytkownik jest już zalogowany! Czy chcesz wylogować poprzednio połączonego klienta?,,,,,,,,,,,,,,,
connection_lost,,"Lost connection to the server! Please try again in a minute.<br><br>If this keeps happening, check to see if there's an update available for the game.","Se ha perdido la conexión con el servidor. Por favor, inténtalo de nuevo en un minuto.",Yhteys palvelimeen kaatui! Yritä uudelleen hetken kuluttua.,Verbindung zum Server verloren! Bitte probier es in einigen Minuten nochmal,サーバーへの接続が切れました！1分後に再接続してください。,Perdeu a conexão com o servidor! Tente novamente em um minuto.,Connexion au serveur perdue ! Veuillez réessayer dans une minute.,"Connessione al server persa! Per favore riprova tra qualche minuto.<br><br>Se il problema persiste, controllare se ci sono aggiornamenti disponibili.",서버 연결이 끊겼습니다! 잠시 후 다시 시도해 주세요.,Sunucuyla bağlantı koptu! Lütfen bir dakika içinde tekrar deneyiniz.,Utracono połączenie z serwerem! Spróbuj ponownie później.,,,,,,,,,,,,,,,
server_unresponsive,,"Couldn't establish a connection. The server might be offline - please try again in a minute.<br><br>If this keeps happening, check to see if there's an update available for the game.","No se ha podido establecer la conexión. El servidor podría estar sin conexión. Por favor, inténtalo de nuevo en un minuto.",Palvelimeen ei onnistuttu luomaan yhteyttä! Yritä uudelleen hetken kuluttua.,Es konnte keine verbindung zum Server hergestellt werden! Bitte probier es in einigen Minuten nochmal.,接続を確立できませんでした。サーバーがオフラインになっている可能性があります。,Não foi possível estabelecer uma conexão. O servidor pode estar off-line - tente novamente em um minuto.,Impossible d'établir une connexion. Le serveur est peut-être hors ligne - veuillez réessayer dans une minute.,"Impossibile stabilire una connessione. Il server potrebbe essere offline - riprova tra qualche minuto.<br><br>Se il problema persiste, controllare se ci sono aggiornamenti disponibili.",연결할 수 없습니다. 서버가 오프라인 상태일 수 있습니다. 잠시 후 다시 시도해 주세요.,Bağlantı kurulamıyor. Sunucu çevrimdışı olabilir - lütfen bir dakika içinde tekrar deneyin,Nie można nawiązać połączenia. Serwer może być offline - spróbuj ponownie później.,,,,,,,,,,,,,,,
failed_to_setup_databases,,We had some issues downloading and setting your data. Please try restarting the game and reinstalling it completely if the issue persists.,"Hemos tenido algunos problemas descargando y configurando tus datos. Por favor, intenta reiniciar el juego y reinstalalo completamente si el problema persiste.","Meillä oli vaikeuksia ladata ja asettaa dataasi. Yritä käynnistää peli uudelleen, ja mikäli se ei toimi, asenna peli kokonaan uudestaan.",Es gab ein problem beim runterladen deiner Daten. Bitte starte das spiel neu oder reinstaliere es wenn das Problem weiterhin auftritt.,データのダウンロードと設定に問題が発生しました。問題が解決しない場合は、ゲームを再起動し、完全に再インストールしてみてください。,Tivemos alguns problemas para baixar e configurar seus dados. Tente reiniciar o jogo e reinstalá-lo completamente se o problema persistir.,Nous avons rencontré des problèmes lors du télépré-selection et de la configuration de vos données. Veuillez essayer de redémarrer le jeu et de le réinstaller complètement si le problème persiste.,Abbiamo riscontrato dei problemi a scaricare e impostare i tuoi dati. Se il problema persiste prova a riavviare il gioco oppure a riscaricarlo.,데이터를 다운로드하고 설정하는 데 문제가 발생했습니다. 문제가 지속되면 게임을 다시 시작하고 완전히 다시 설치해 보십시오.,Verilerinizi indirirken ve ayarlarken bazı sorunlar yaşadık. Sorun devam ederse lütfen oyunu yeniden başlatmayı ve tamamen yeniden yüklemeyi deneyin.,"Wystąpiły problemy z pobraniem i ustawieniem danych. Spróbuj zrestartować grę lub zainstalować ją ponownie, jeśli problem nadal występuje.",,,,,,,,,,,,,,,
failed_to_fetch_databases,,We had some trouble initializing your data. Please check that you're on the latest game build and that your internet connection is working fine.,Hemos tenido problemas para inicializar tus datos. Comprueba que tienes la última versión del juego y que tu conexión a Internet funciona correctamente.,Emme saaneet yhteyttä tietokantoihimme! Varmistathan että sinulla on pelin uusin saatavilla oleva päivitys ja että internet yhteytesi toimii.,Es gab ein problem beim initialisieren deiner Daten. Bitte kontrolliere das du die neuste Version des Spiels hast und das deine Internetverbindung stabil ist.,データの初期化に問題が発生しました。ゲームのビルドが最新であることと、インターネット接続が正常に機能していることをご確認ください。,Tivemos problemas para inicializar seus dados. Verifique se você está usando a versão mais recente do jogo e se sua conexão com a Internet está funcionando bem.,Nous avons eu des problèmes pour initialiser vos données. Veuillez vérifier que vous utilisez la dernière version du jeu et que votre connexion Internet fonctionne correctement.,Abbiamo riscontrato dei problemi durante l'inizializzazione dei tuoi dati. Per favore controlla di possedere l'ultima versione del gioco e che la tua connessione funzioni.,"데이터를 초기화하는 데 문제가 발생했습니다. 최신 게임 빌드를 사용 중인지, 인터넷 연결이 정상적으로 작동하는지 확인해 주세요.",Verilerinizi başlatırken bazı sorunlar yaşadık. Lütfen en son oyun sürümünü kullandığınızdan ve internet bağlantınızın iyi çalıştığından emin olun.,"Wystąpiły problemy z inicjalizacją danych. Sprawdź, czy korzystasz z najnowszej wersji gry i czy twoje połączenie internetowe działa prawidłowo.",,,,,,,,,,,,,,,
locked,,Locked,Bloqueado,Lukittu,Gesperrt,ロックされました,Bloqueado,Verrouillé,Bloccato,잠김,Kilitli,Zablokowane,,,,,,,,,,,,,,,
description,,Description,Descripción,Kuvaus,Beschreibung,説明,Descrição,Description,Descrizione,설명,Açıklama,Opis,,,,,,,,,,,,,,,
inventory_space,,Inventory space: +,Espacio en el inventario: +,Varastotila: +,Inventarplatz: +,インベントリの空き容量 +,Espaço no inventário: +,Espace d'inventaire : +,Spazio inventario: +,인벤토리 공간: +,Envanter boşluğu: +,Miejsce w ekwipunku: +,,,,,,,,,,,,,,,
inventory_space2,,Inventory space: {0}/{1},Espacio de inventario: {0}/{1},Varastotila: {0}/{1},Inventarplatz: {0}/{1},インベントリスペース {0}/{1},Espaço no inventário: {0}/{1},Espace d'inventaire : {0}/{1},Spazio inventario: {0}/{1},인벤토리 공간: {0}/{1},Envanter boşluğu: {0}/1,Miejsce w ekwipunku: {0}/{1},,,,,,,,,,,,,,,
global_skilling_boost,,Skilling exp boost: <color=#33D9B2>{0}%</color>,Aumento de exp. de habilidad: <color=#33D9B2>{0}%</color>,Skillien kokemusboosti: <color=#33D9B2>{0}%</color>,Fertigkeitserfahrungsbohnus:  <color=#33D9B2>{0}%</color>,スキル経験値ブースト <color=#33D9B2>{0}%</color>,Aumento de exp. de habilidade: <color=#33D9B2>{0}%</color>,Augmentation de l'experience des compétences : <color=#33D9B2>{0}%</color>,Potenziamento punti abilità <color=#33D9B2>{0}%</color>,스킬 경험치 부스트: <color=#33D9B2>{0}%</color>,Beceri deneyim bonusu: <color=#33D9B2>{0}%</color>,Zwiększenie doświadczenia do umiejętności: <color=#33D9B2>{0}%</color>,,,,,,,,,,,,,,,
global_skilling_boost_raise,,Skilling exp boost: {0}% <color=#33D9B2>(+{1}%)</color>,Aumento de exp. de habilidad: {0}% <color=#33D9B2>(+{1}%)</color>,Skillien kokemusboosti: <color=#33D9B2>{0}%</color> (+{1}%),Fertigkeitserfahrungsbonus:  {0}% <color=#33D9B2>(+{1}%)</color>,熟練度ブースト: {0}% <color=#33D9B2>(+{1}%)</color> <color=#33D9B2>(+{0}%),Aumento de exp. de habilidade: {0}% <color=#33D9B2>(+{1}%)</color>,Augmentation de l'experience des compétences : {0}% <color=#33D9B2>(+{1}%)</color>,Potenziamento punti abilità: {0}% <color=#33D9B2>(+{1}%)</color>,스킬 경험치 부스트: {0}% <color=#33D9B2>(+{1}%)</color>,Beceri deneyim bonusu: {0}% <color=#33D9B2>(+{1}%)</color>,Zwiększenie doświadczenia do umiejętności: {0}% <color=#33D9B2>(+{1}%)</color>,,,,,,,,,,,,,,,
cardboard_box,,Cardboard box,Caja de cartón,Pahvilaatikko,Pappschachtel,ダンボール箱,Caixa de papelão,Boîte en carton,Scatola di cartone,판지 상자,Karton kutu,Kartonowe pudełko,,,,,,,,,,,,,,,
cardboard_box_description,,Just enough to keep you alive<br><b>Skilling experience boost: {0}%</b>,Lo justo para mantenerte con vida<br><b>Aumento de experiencia de habilidad: {0}%</b>,Juuri ja juuri pitää sinut hengissä<br><b>Boostaa kokemusta taidoista{0}%</b>,Geradeso genug um zu überleben<br><b>Fertigkeitserfahrungsbonus: {0}%</b>,生きていくのに十分な量<br><b>スキル経験値ブースト: {0}%</b> <color=#339B2>(+{1}%<//color>),Apenas o suficiente para mantê-lo vivo<br><b>Reforço de experiência de habilidade: {0}%</b>,Juste assez pour vous permettre de rester en vie<br><b>Augmentation de l'experience des compétences : {0}%</b>,Abbastanza per sopravvivere<br><b>Potenziamento punti abilità: {0}%</b>,생존할 수 있을 만큼 충분합니다.<br><b>스킬 경험치 부스트: {0}%</b>,Seni hayatta tutmaya yetecek kadar<br><b>Beceri deneyimi artışı: %{0}</b>,Wystarczająco by utrzymać cię przy życiu<br><b>Przyrost doświadczenia: {0}%</b>,,,,,,,,,,,,,,,
tent,,Tent,Tienda de campaña,Teltta,Zelt,テント,Tenda,Tente,Tenda,텐트,Çadır,Namiot,,,,,,,,,,,,,,,
tent_description,,"Uncomfortable, but at least it's not a cardboard box<br><b>Skilling experience boost: {0}%</b>","Incómoda, pero al menos no es una caja de cartón<br><b>Aumento de experiencia de habilidad: {0}%</b>","Epämukava, mutta ainakaan se ei ole pahvilaatikko<br><b>Boostaa kokemusta taidoista: {0}%</b>","Unkomfortabel, aber immerhin keine Pappschachtel<br><b>Fertigkeitserfahrungsbonus: {0}%</b>",居心地は悪いが、少なくとも段ボール箱ではない<br><b>スキル経験値ブースト：{0}%</b>。,"Desconfortável, mas pelo menos não é uma caixa de papelão<br><b>Grande aumento de experiência de habilidade: {0}%</b>","Inconfortable, mais au moins ce n'est pas une boîte en carton<br><b>Augmentation de l'experience des compétences : {0}%</b>","Scomoda, ma almeno non è una scatola di cartone<br><b>Potenziamento punti abilità: {0}%</b>","불편하지만, 적어도 판지 상자는 아닙니다<br><b>스킬 경험치 부스트: {0}%</b>",Rahatsız edici ama en azından bir karton kutu değil<br><b>Beceri deneyimi artışı: %{0}</b>,"Niewygodny, ale przynajmniej nie jest to karton<br><b>Przyrost doświadczenia: {0}%</b>",,,,,,,,,,,,,,,
van_down_by_the_river,,Van Down by the River,Furgoneta junto al río,Pakettiauto,Transporter am Fluss,川沿いのバン,Van na beira do rio,Van au bord de la rivière,Furgone giù dal fiume,강가의 밴,Nehrin aşağısındaki van,Kamper nad rzeką,,,,,,,,,,,,,,,
van_down_by_the_river_description,,Should help you get back on the right track<br><b>Skilling experience boost: {0}%</b>,Debería ayudarte a volver al buen camino<br><b>Aumento de experiencia de habilidad: {0}%</b>,Vaatimaton tapa asua<br><b>Boostaa kokemusta taidoista{0}%</b>,Sollte dir helfen denn richtigen weg zu finden<br><b>Fertigkeitserfahrungsbonus: {0}%</b>,正しい道に戻るのに役立つはず<br><b>スキル経験値ブースト：{0}%</b>。,Deve ajudá-lo a voltar para o caminho certo<br><b>Grande aumento de experiência de habilidade: {0}%</b>,Cela devrait vous aider à vous remettre sur la bonne voie<br><b>Augmentation de l'experience des compétences : {0}%</b>,Dovrebbe aiutarti a tornare sui tuoi passi<br><b>Potenziamento punti abilità: {0}%</b>,올바른 길로 돌아가도록 도와줍니다.<br><b>숙련 경험치 부스트: {0}%</b>.,Doğru yola geri dönmenize yardımcı olmalı<br><b>Beceri deneyimi artışı: %{0}</b>,Powinien pomóc ci wrócić na właściwą ścieżkę<br><b>Przyrost doświadczenia: {0}%</b>,,,,,,,,,,,,,,,
